name,bias,total_votes,agree,disagree,agree_ratio,agreeance_text,allsides_page
Detroit News,center,423,153,270,0.5666666666666667,Disagrees,https://www.allsides.com/news-source/detroit-news
Diplomatic Courier,center,707,387,320,1.209375,Somewhat Agrees,https://www.allsides.com/news-source/diplomatic-courier
Drudge Report,right-center,4361,2300,2061,1.1159631246967492,Somewhat Agrees,https://www.allsides.com/news-source/drudge-report
Duke Chronicle,center,894,447,447,1.0,Neutral,https://www.allsides.com/news-source/duke-chronicle
East Bay Times,left-center,172,114,58,1.9655172413793103,Agrees,https://www.allsides.com/news-source/east-bay-times
Education Week,center,327,129,198,0.6515151515151515,Disagrees,https://www.allsides.com/news-source/education-week
Elle Magazine,left-center,77,47,30,1.5666666666666667,Agrees,https://www.allsides.com/news-source/elle-magazine-media-bias
Erraticus,center,56,39,17,2.2941176470588234,Strongly Agrees,https://www.allsides.com/news-source/erraticus-media-bias
ESPN.com,left-center,338,149,189,0.7883597883597884,Somewhat Disagrees,https://www.allsides.com/news-source/espn
Esquire,left,1870,1270,600,2.1166666666666667,Strongly Agrees,https://www.allsides.com/news-source/esquire
Estes Park Trail Gazette,center,680,304,376,0.8085106382978723,Somewhat Disagrees,https://www.allsides.com/news-source/estes-park-trail-gazette
Eurek Alert,center,802,378,424,0.8915094339622641,Somewhat Disagrees,https://www.allsides.com/news-source/eurek-alert
Evie Magazine,right-center,55,31,24,1.2916666666666667,Somewhat Agrees,https://www.allsides.com/news-source/evie-magazine-media-bias
Fact Checker Blog,center,1656,849,807,1.0520446096654275,Somewhat Agrees,https://www.allsides.com/news-source/fact-checker-blog
FactCheck.org,center,14242,7541,6701,1.1253544247127294,Somewhat Agrees,https://www.allsides.com/news-source/factcheckorg-media-bias
FAIR,left-center,1203,593,610,0.9721311475409836,Somewhat Disagrees,https://www.allsides.com/news-source/fair-media-bias
Falls Church News - Press,left,942,455,487,0.9342915811088296,Somewhat Disagrees,https://www.allsides.com/news-source/falls-church-news-press
Financial Times,center,1443,875,568,1.5404929577464788,Agrees,https://www.allsides.com/news-source/financial-times-media-bias
Fiscal Times,right-center,1390,742,648,1.1450617283950617,Somewhat Agrees,https://www.allsides.com/news-source/fiscal-times
FiveThirtyEight,center,7848,4498,3350,1.342686567164179,Somewhat Agrees,https://www.allsides.com/news-source/fivethirtyeight-0
Forbes,center,20760,12998,7762,1.6745684102035558,Agrees,https://www.allsides.com/news-source/forbes
Foreign Affairs,center,1702,1086,616,1.7629870129870129,Agrees,https://www.allsides.com/news-source/foreign-affairs
Foreign Policy,center,644,298,346,0.861271676300578,Somewhat Disagrees,https://www.allsides.com/news-source/foreign-policy-media-bias
Fort Worth Star-Telegram,center,19,9,10,0.9,Somewhat Disagrees,https://www.allsides.com/news-source/fort-worth-star-telegram-media-bias
Fortune,center,440,160,280,0.5714285714285714,Disagrees,https://www.allsides.com/news-source/fortune
Fox Business,right-center,25,18,7,2.5714285714285716,Strongly Agrees,https://www.allsides.com/news-source/fox-business-media-bias
Fox News (Online News),right,86359,39946,46413,0.8606640380927757,Somewhat Disagrees,https://www.allsides.com/news-source/fox-news-media-bias
Fox News (Opinion),right,32352,26205,6147,4.263055148853099,Absolutely Agrees,https://www.allsides.com/news-source/fox-news-editorial-media-bias
Fox News Latino,right,3777,2583,1194,2.163316582914573,Strongly Agrees,https://www.allsides.com/news-source/fox-news-latino
FrontPage Magazine,right,1073,625,448,1.3950892857142858,Somewhat Agrees,https://www.allsides.com/news-source/frontpage-magazine
Gizmodo,left-center,413,236,177,1.3333333333333333,Somewhat Agrees,https://www.allsides.com/news-source/gizmodo
GLAAD,left-center,251,53,198,0.2676767676767677,Absolutely Disagrees,https://www.allsides.com/news-source/glaad-media-bias
GoLocal Providence,center,3,2,1,2.0,Agrees,https://www.allsides.com/news-source/golocal-providence-media-bias
Google News,left-center,1568,906,662,1.3685800604229608,Somewhat Agrees,https://www.allsides.com/news-source/google-news-media-bias
GQ.com,left-center,376,164,212,0.7735849056603774,Somewhat Disagrees,https://www.allsides.com/news-source/gqcom-media-bias
Grist,left-center,1081,517,564,0.9166666666666666,Somewhat Disagrees,https://www.allsides.com/news-source/grist
Hampton Roads Messanger,center,837,413,424,0.9740566037735849,Somewhat Disagrees,https://www.allsides.com/news-source/hampton-roads-messanger
Harvard Business School,left-center,1783,787,996,0.7901606425702812,Somewhat Disagrees,https://www.allsides.com/news-source/harvard-business-school
Heavy.com,center,301,137,164,0.8353658536585366,Somewhat Disagrees,https://www.allsides.com/news-source/heavycom-media-bias
Herald Democrat,left,928,515,413,1.2469733656174333,Somewhat Agrees,https://www.allsides.com/news-source/herald-democrat-0
High Times,left-center,72,41,31,1.3225806451612903,Somewhat Agrees,https://www.allsides.com/news-source/high-times-media-bias
Hip Latina,left,46,30,16,1.875,Agrees,https://www.allsides.com/news-source/hip-latina-media-bias
Honolulu Civil Beat,center,901,378,523,0.722753346080306,Somewhat Disagrees,https://www.allsides.com/news-source/honolulu-civil-beat
HotAir,right-center,2052,1085,967,1.1220268872802481,Somewhat Agrees,https://www.allsides.com/news-source/hotair
Houston Chronicle,center,381,125,256,0.48828125,Strongly Disagrees,https://www.allsides.com/news-source/houston-chronicle-media-bias
How Do We Fix It?,center,1307,670,637,1.0518053375196232,Somewhat Agrees,https://www.allsides.com/news-source/how-do-we-fix-it
HuffPost,left,56612,34534,22078,1.5641815381828064,Agrees,https://www.allsides.com/news-source/huffpost-media-bias
Idaho Statesman,center,239,106,133,0.7969924812030075,Somewhat Disagrees,https://www.allsides.com/news-source/idaho-statesman-media-bias
Inacow,right,733,420,313,1.34185303514377,Somewhat Agrees,https://www.allsides.com/news-source/inacow
Independent Journal Review,center,2506,1297,1209,1.0727874276261373,Somewhat Agrees,https://www.allsides.com/news-source/independent-journal-review
Indiana Daily Student,center,724,312,412,0.7572815533980582,Somewhat Disagrees,https://www.allsides.com/news-source/indiana-daily-student
Indy Online,center,663,318,345,0.9217391304347826,Somewhat Disagrees,https://www.allsides.com/news-source/indy-online
Indy Week,left-center,709,337,372,0.9059139784946236,Somewhat Disagrees,https://www.allsides.com/news-source/indy-week
IndyStar,center,59,23,36,0.6388888888888888,Disagrees,https://www.allsides.com/news-source/indystar-media-bias
InfoWars,right,6290,5162,1128,4.576241134751773,Absolutely Agrees,https://www.allsides.com/news-source/infowars
Inland Valley Daily Bulletin,center,40,21,19,1.105263157894737,Somewhat Agrees,https://www.allsides.com/news-source/inland-valley-daily-bulletin-media-bias
Inside Philanthropy,center,702,329,373,0.8820375335120644,Somewhat Disagrees,https://www.allsides.com/news-source/inside-philanthropy
Insider,center,8192,3242,4950,0.654949494949495,Disagrees,https://www.allsides.com/news-source/business-insider
Intellectual Conservative,right-center,831,388,443,0.8758465011286681,Somewhat Disagrees,https://www.allsides.com/news-source/intellectual-conservative
International Business Times,center,1921,1073,848,1.2653301886792452,Somewhat Agrees,https://www.allsides.com/news-source/international-business-times
Investor's Business Daily,right-center,2272,1252,1020,1.227450980392157,Somewhat Agrees,https://www.allsides.com/news-source/investors-business-daily
IVN,center,948,476,472,1.0084745762711864,Somewhat Agrees,https://www.allsides.com/news-source/ivn
Jacobin,left,1147,927,220,4.213636363636364,Absolutely Agrees,https://www.allsides.com/news-source/jacobin-media-bias
Jefferson Public Radio,center,29,17,12,1.4166666666666667,Somewhat Agrees,https://www.allsides.com/news-source/jefferson-public-radio-media-bias
Jezebel,left,469,355,114,3.1140350877192984,Absolutely Agrees,https://www.allsides.com/news-source/jezebel-media-bias
Journalist's Resource,center,659,312,347,0.899135446685879,Somewhat Disagrees,https://www.allsides.com/news-source/journalists-resource
JSTOR Daily,center,65,37,28,1.3214285714285714,Somewhat Agrees,https://www.allsides.com/news-source/jstor-daily-media-bias
Jubilee Media,center,547,256,291,0.8797250859106529,Somewhat Disagrees,https://www.allsides.com/news-source/jubilee-media-bias
Judicial Watch,right-center,2715,1311,1404,0.9337606837606838,Somewhat Disagrees,https://www.allsides.com/news-source/judicial-watch
Just Security,center,13,7,6,1.1666666666666667,Somewhat Agrees,https://www.allsides.com/news-source/just-security-media-bias
Just The News,center,835,225,610,0.36885245901639346,Strongly Disagrees,https://www.allsides.com/news-source/just-news-media-bias
KALW.org,center,46,21,25,0.84,Somewhat Disagrees,https://www.allsides.com/news-source/kalworg-media-bias
KATU,center,207,91,116,0.7844827586206896,Somewhat Disagrees,https://www.allsides.com/news-source/katu-media-bias
Kenosha News,center,42,11,31,0.3548387096774194,Strongly Disagrees,https://www.allsides.com/news-source/kenosha-news-media-bias
KQED,center,1067,568,499,1.1382765531062125,Somewhat Agrees,https://www.allsides.com/news-source/kqed
KSL,right,1838,974,864,1.1273148148148149,Somewhat Agrees,https://www.allsides.com/news-source/ksl
KWCH,center,28,16,12,1.3333333333333333,Somewhat Agrees,https://www.allsides.com/news-source/kwch-media-bias
Las Vegas Sun,left-center,687,342,345,0.991304347826087,Somewhat Disagrees,https://www.allsides.com/news-source/las-vegas-sun
Latino Rebels,left,57,33,24,1.375,Somewhat Agrees,https://www.allsides.com/news-source/latino-rebels-media-bias
Law & Crime,center,55,26,29,0.896551724137931,Somewhat Disagrees,https://www.allsides.com/news-source/law-crime-media-bias
Leafly,left,34,20,14,1.4285714285714286,Somewhat Agrees,https://www.allsides.com/news-source/leafly-media-bias
Leesburg Today,right-center,507,265,242,1.0950413223140496,Somewhat Agrees,https://www.allsides.com/news-source/leesburg-today
Left - Major Media Sources,left,1086,617,469,1.3155650319829424,Somewhat Agrees,https://www.allsides.com/news-source/left-major-publications
LGBTQ Nation,left,315,106,209,0.507177033492823,Disagrees,https://www.allsides.com/news-source/lgbtq-nation-media-bias
Lifehacker,center,818,411,407,1.00982800982801,Somewhat Agrees,https://www.allsides.com/news-source/lifehacker
Listen First Project,allsides,308,169,139,1.2158273381294964,Somewhat Agrees,https://www.allsides.com/news-source/listen-first-project-media-bias
Live Action News,right-center,605,353,252,1.4007936507936507,Somewhat Agrees,https://www.allsides.com/news-source/live-action-news
Live Science,center,124,70,54,1.2962962962962963,Somewhat Agrees,https://www.allsides.com/news-source/live-science-media-bias
Long Beach Press-Telegram,center,38,11,27,0.4074074074074074,Strongly Disagrees,https://www.allsides.com/news-source/long-beach-press-telegram-media-bias
Longmont Times-Call,left-center,422,226,196,1.153061224489796,Somewhat Agrees,https://www.allsides.com/news-source/longmont-times-call
Los Angeles Daily News,center,96,22,74,0.2972972972972973,Absolutely Disagrees,https://www.allsides.com/news-source/los-angeles-daily-news-media-bias
Los Angeles Times,left-center,8378,4824,3554,1.357343837929094,Somewhat Agrees,https://www.allsides.com/news-source/los-angeles-times-bias
Louisville Courier-Journal,left-center,510,250,260,0.9615384615384616,Somewhat Disagrees,https://www.allsides.com/news-source/louisville-courier-journal
Making Sense,center,41,26,15,1.7333333333333334,Agrees,https://www.allsides.com/news-source/making-sense-media-bias
Marijuana Moment,left-center,57,30,27,1.1111111111111112,Somewhat Agrees,https://www.allsides.com/news-source/marijuana-moment-media-bias
MarketWatch,center,1314,377,937,0.4023479188900747,Strongly Disagrees,https://www.allsides.com/news-source/marketwatch-media-bias
Mashable,left,836,587,249,2.357429718875502,Strongly Agrees,https://www.allsides.com/news-source/mashable
McClatchyDC,center,256,109,147,0.7414965986394558,Somewhat Disagrees,https://www.allsides.com/news-source/mcclatchydc-media-bias
Media Matters,left,4763,3075,1688,1.8216824644549763,Agrees,https://www.allsides.com/news-source/media-matters-bias
Media Research Center,right,3116,1423,1693,0.8405197873597164,Somewhat Disagrees,https://www.allsides.com/news-source/media-research-center
Media Village,center,2,1,1,1.0,Neutral,https://www.allsides.com/news-source/media-village-media-bias
Mediaite,left-center,1760,887,873,1.0160366552119129,Somewhat Agrees,https://www.allsides.com/news-source/mediaite-bias
Metro Weekly,left,5,3,2,1.5,Somewhat Agrees,https://www.allsides.com/news-source/metro-weekly-media-bias
Miami Herald,left-center,869,428,441,0.9705215419501134,Somewhat Disagrees,https://www.allsides.com/news-source/miami-herald
MichelleMalkin.com,right,980,653,327,1.996941896024465,Agrees,https://www.allsides.com/news-source/michellemalkincom
Michigan Daily,left-center,552,287,265,1.0830188679245283,Somewhat Agrees,https://www.allsides.com/news-source/michigan-daily
Military Times,center,239,112,127,0.8818897637795275,Somewhat Disagrees,https://www.allsides.com/news-source/military-times-media-bias
Misinformation Review,center,51,24,27,0.8888888888888888,Somewhat Disagrees,https://www.allsides.com/news-source/misinformation-review-media-bias
Mismatch.org,allsides,246,121,125,0.968,Somewhat Disagrees,https://www.allsides.com/news-source/mismatchorg-media-bias
MIT News,center,537,290,247,1.174089068825911,Somewhat Agrees,https://www.allsides.com/news-source/mit-news
Mitú,left,41,25,16,1.5625,Agrees,https://www.allsides.com/news-source/mit-media-bias
Mother Jones,left,16681,14547,2134,6.816776007497657,Absolutely Agrees,https://www.allsides.com/news-source/mother-jones-bias
MSNBC,left,25103,19908,5195,3.8321462945139557,Absolutely Agrees,https://www.allsides.com/news-source/msnbc
MTV News Online,left-center,394,150,244,0.6147540983606558,Disagrees,https://www.allsides.com/news-source/mtv-news-online-media-bias
National Geographic,center,246,138,108,1.2777777777777777,Somewhat Agrees,https://www.allsides.com/news-source/national-geographic-media-bias
National Journal,center,1838,1041,797,1.3061480552070264,Somewhat Agrees,https://www.allsides.com/news-source/national-journal
National Review,right,25546,18132,7414,2.445643377394119,Strongly Agrees,https://www.allsides.com/news-source/national-review
Nature.com,center,209,130,79,1.6455696202531647,Agrees,https://www.allsides.com/news-source/naturecom-media-bias
Nautilus Quarterly,center,6,3,3,1.0,Neutral,https://www.allsides.com/news-source/nautilus-quarterly-media-bias
NBC News (Online),left-center,22940,11523,11417,1.009284400455461,Somewhat Agrees,https://www.allsides.com/news-source/nbc-news-media-bias
NBC Today Show,left-center,3233,1572,1661,0.946417820590006,Somewhat Disagrees,https://www.allsides.com/news-source/nbc-today-show
New Discourses,center,176,103,73,1.4109589041095891,Somewhat Agrees,https://www.allsides.com/news-source/new-discourses-media-bias
New Hampshire Union Leader,center,135,63,72,0.875,Somewhat Disagrees,https://www.allsides.com/news-source/union-leader
New Republic,left,2502,1663,839,1.9821215733015494,Agrees,https://www.allsides.com/news-source/new-republic
New York Daily News,left,2122,1472,650,2.2646153846153845,Strongly Agrees,https://www.allsides.com/news-source/new-york-daily-news
New York Magazine,left,3231,2263,968,2.3378099173553717,Strongly Agrees,https://www.allsides.com/news-source/new-york-magazine
New York Post (News),right-center,20546,13345,7201,1.8532148312734342,Agrees,https://www.allsides.com/news-source/new-york-post
New York Post (Opinion),right,351,246,105,2.342857142857143,Strongly Agrees,https://www.allsides.com/news-source/new-york-post-opinion-media-bias
New York Times (News),left-center,65801,28023,37778,0.7417809307004076,Somewhat Disagrees,https://www.allsides.com/news-source/new-york-times
New York Times (Opinion),left,17171,13523,3648,3.7069627192982457,Absolutely Agrees,https://www.allsides.com/news-source/new-york-times-opinion-media-bias
NewsBusters,right,850,552,298,1.8523489932885906,Agrees,https://www.allsides.com/news-source/newsbusters
Newsmax (News),right-center,20596,9880,10716,0.9219858156028369,Somewhat Disagrees,https://www.allsides.com/news-source/newsmax
Newsmax - Opinion,right,583,430,153,2.810457516339869,Strongly Agrees,https://www.allsides.com/news-source/newsmax-opinion-media-bias
NewsOne,left,337,245,92,2.6630434782608696,Strongly Agrees,https://www.allsides.com/news-source/newsonecom-media-bias
Newsweek,center,7517,3110,4407,0.7056954844565464,Somewhat Disagrees,https://www.allsides.com/news-source/newsweek
Newsy,center,420,300,120,2.5,Strongly Agrees,https://www.allsides.com/news-source/newsy-media-bias
Newtrals,center,29,20,9,2.2222222222222223,Strongly Agrees,https://www.allsides.com/news-source/newtrals-media-bias
Nieman Lab,center,157,75,82,0.9146341463414634,Somewhat Disagrees,https://www.allsides.com/news-source/nieman-lab-media-bias
NMPolitics.net,center,521,229,292,0.7842465753424658,Somewhat Disagrees,https://www.allsides.com/news-source/nmpoliticsnet
NPR (Online News),center,59219,30794,28425,1.0833421284080915,Somewhat Agrees,https://www.allsides.com/news-source/npr-media-bias
NPR (Opinion),left-center,16659,7871,8788,0.8956531634046427,Somewhat Disagrees,https://www.allsides.com/news-source/npr-editorial
One America News Network (OAN),right,3679,2315,1364,1.6972140762463344,Agrees,https://www.allsides.com/news-source/one-america-news-network-media-bias
Orange County Register,right-center,668,372,296,1.2567567567567568,Somewhat Agrees,https://www.allsides.com/news-source/orange-county-register
Our.News,center,15,9,6,1.5,Somewhat Agrees,https://www.allsides.com/news-source/ournews-media-bias
Outkick the Coverage,center,56,15,41,0.36585365853658536,Strongly Disagrees,https://www.allsides.com/news-source/outkick-media-bias
Pacific Standard,left-center,834,438,396,1.106060606060606,Somewhat Agrees,https://www.allsides.com/news-source/pacific-standard
