country,organization_for,via,from,to
USA,Quorum Federal Credit Union,directly,17054,17054
USA,Realm IDX / Ambry,Vitality,818,818
USA,Rhode Island Government,TIAA / PBI,1500,1500
USA,Rite Aid,directly,24400,24400
USA,RiverSource Life Insurance Co. [Delaware],,459,459
USA,Rockland Trust,undisclosed vendor,11661,11661
USA,Sound Community Bank,undisclosed vendor,14686,14686
USA,Sovos Compliance,directly,18513,18513
USA,State of Illinois,,390000,390000
USA,T. Rowe Price Retirement Plan Services,PBI,463,463
USA,Talcott Resolution Life Insurance Company,PBI,316041,557741
USA,Teachers' Retirement System of the City of New York,PBI,93298,93298
USA,Technology Services Group,Vitality,4392,4392
USA,Tennessee Consolidated Retirement System TCRS,PBI,171836,171836
USA,TIAA Kaspick,PBI,27946,27946
USA,TIAA Teachers Insurance and Annuity Association of America,PBI,2630717,2630717
USA,TransAmerica Life Insurance [Delaware],,618,618
USA,TransAmerica Life Insurance [Texas],,18601,18601
USA,TSG Interactive US Services Limited / PokerStars,directly,110291,110291
USA,U.S. Department of Health and Human Services,,100000,100000
USA,Union Bank and Trust Company,directly,204291,204291
USA,UnitedHealthcare Student Resources [Delaware],,2080,2080
USA,UnitedHealthcare Student Resources [Massachusetts],,14899,14899
USA,UnitedHealthcare Student Resources [Texas],,77536,77536
USA,University of Rochester,directly,88025,88025
USA,UT Southwestern Medical Center,,98437,98437
USA,Valley Bank [Massachusetts],FIS,338,338
USA,Valley Bank [Texas],,351,351
USA,Westat,directly,7954,7954
USA,Willis Towers Watson US / Acclaris [Massachusetts],PBI,97,97
USA,Wilton Reassurance Company,PBI,1433939,1482490
