Country,City,Industry,Company
USA,Russellville AR,University,Arkansas Tech University
USA,Minneapolis MN,University,Augsburg University
USA,Boise ID,University,Boise State University
USA,Boston MA,University,Boston University
USA,Cedarville OH,University,Cedarville University
USA,Orange CA,University,Chapman University
USA,Clemson SC,University,Clemson University
USA,Fort Collins CO,University,Colorado State University
USA,Dickinson ND,University,Dickinson State University (DSU)
USA,Des Moines IA,University,Drake University
USA,Saratoga Springs NY,University,Empire State University
USA,Erie PA,University,Gannon University
USA,University Park IL,University,Governors State University
USA,Des Moines IA,University,Grand View University
USA,Milwaukee WI,University,Herzing University
USA,Pocatello ID,University,Idaho State University
USA,Terre Haute IN,University,Indiana State University
USA,Bloomington IN,University,Indiana University
USA,Baltimore MD,University,Johns Hopkins University
USA,Chicago IL,University,Loyola University Chicago
USA,New York City NY,University,Pace University
USA,Troy NY,University,Rensselaer Polytechnic Institute (RPI)
USA,Honolulu HI,University,Research Corporation of the University of Hawaiʻi
USA,Kansas City MO,University,Rockhurst University?
USA,New Brunswick NJ,University,Rutgers University
USA,Carbondale IL,University,Southern Illinois University
USA,Cedar City UT,University,Southern Utah University
USA,Louisville KY,University,Spalding University
USA,San Antonio TX,University,St. Mary’s University
USA,Fredonia NY,University,State University of New York at Fredonia
USA,Stony Brook NY,University,Stony Brook University
USA,Boston MA,University,Suffolk University
USA,Buffalo NY,University,SUNY Buffalo State University
USA,New Paltz NY,University,SUNY New Palt
USA,New York City NY,University,The City University of New York
USA,Memphis TN,University,The University of Memphis
USA,San Antonio TX,University,Trinity University
USA,Santa Cruz CA,University,UC Santa Cruz
USA,Greensboro NC,University,UNC Greensboro
USA,Buffalo NY,University,University at Buffalo
USA,Los Angeles CA,University,"University of California, Los Angeles (UCLA)"
USA,Edmond OK,University,University of Central Oklahoma
USA,Denver CO,University,University of Colorado
USA,Dayton OH,University,University of Dayton
USA,Atlanta GA,University,University of Georgia
USA,Moscow ID,University,University of Idaho
USA,Ann Arbor MI,University,University of Michigan
USA,Grand Forks ND,University,University of North Dakota (UND)
USA,Greeley CO,University,University of Northern Colorado
USA,Rochester NY,University,University of Rochester
USA,Salt Lake City UT,University,University of Utah
USA,St. George UT,University,Utah Tech University
USA,Vincennes IN,University,Vincennes University
USA,Winston-Salem NC,University,Wake Forest University (WFU)
USA,Pullman WA,University,Washington State University (WSU)
USA,St. Louis MO,University,Webster University
USA,Pomona CA,University,Western University of Health Sciences
USA,Bellingham WA,University,Western Washington University
USA,Williamsburg VA,University,William & Mary
USA,Worcester MA,University,Worcester State University
USA,Cincinnati OH,University,Xavier University
USA,Fairbanks,University system,University of Alaska
USA,,University system,University of Illinois System
USA,Columbia MO,University system,University of Missouri System
USA,Atlanta GA,University system,University System of Georgia
USA,,University?,
USA,Philadelphia PA,University?,Temple University
USA,Newark DE,University?,University of Delaware
USA,Norman OK,University?,University of Oklahoma
